FID,id,navn,loebenummer,web_id,x,y,longitude,latitude,graffitirenhold,wkb_geometry
monumenter.259,65064,Ulrich Birch,39,23,725872.040298,6174987.767862,12.591753,55.668076,Ja,MULTIPOINT ((12.59175266298512 55.66807562111665))
monumenter.260,65066,F.J. Borgbjerg,128,178,723931.61886,6178754.684483,12.564039,55.702756,Ja,MULTIPOINT ((12.564038681203854 55.702755580489764))
monumenter.261,65067,Skulptur i tre dele,249,283,724087.563172,6178611.003469,12.566398,55.701395,Ja,MULTIPOINT ((12.566397771371733 55.70139506849494))
monumenter.262,65068,Ove Rode,127,177,724479.94298,6179289.399478,12.573185,55.707297,Ja,MULTIPOINT ((12.573184739436446 55.70729752030415))
monumenter.263,65069,Ved målet,169,214,724754.053262,6178945.864011,12.577257,55.70409,Nej,MULTIPOINT ((12.577256578046848 55.7040898478427))
monumenter.264,65070,Valdemar Bie,146,195,724250.892841,6178092.303398,12.568567,55.696668,Ja,MULTIPOINT ((12.568567172365126 55.69666794771857))
monumenter.265,65071,To løver,30,82,724412.606349,6179169.469677,12.572017,55.706253,Ja,MULTIPOINT ((12.572017000141278 55.70625314998067))
monumenter.266,65073,To sportsscener,294,333,724742.368007,6178946.324857,12.577071,55.704099,Nej,MULTIPOINT ((12.57707137642782 55.704099392704045))
monumenter.267,65074,J.F. Classen,143,191,725524.590656,6178300.688026,12.588963,55.697947,Ja,MULTIPOINT ((12.5889628433937 55.69794657806639))
monumenter.268,65075,Stående kvinde,184,229,725192.203047,6180184.198371,12.585233,55.714992,Ja,MULTIPOINT ((12.585233063621658 55.71499182477975))
monumenter.269,65077,Kristina,307,346,725953.728241,6178451.572555,12.595901,55.6991,Ja,MULTIPOINT ((12.595901376908413 55.69910007792677))
monumenter.270,65078,Kains efterkommere,3,32,721153.688275,6174134.114775,12.516196,55.66259,Ja,MULTIPOINT ((12.516195606780721 55.66259011567019))
monumenter.271,65079,Nulpunkt Nørreport,76,132,724512.516398,6176668.415071,12.571556,55.683778,Ja,MULTIPOINT ((12.571555741370746 55.68377767528879))
monumenter.272,65081,Keramisk vægudsmykning,211,251,720616.17031,6174021.330152,12.507577,55.661823,Nej,MULTIPOINT ((12.507576841262953 55.66182289566615))
monumenter.273,65082,Vandbærerske,203,435,721260.461222,6173912.580007,12.517711,55.660555,Ja,MULTIPOINT ((12.517711228022536 55.66055468273101))
monumenter.274,65083,Løvebrønd,187,232,719784.680342,6174877.625994,12.49507,55.669879,Ja,MULTIPOINT ((12.495069805575998 55.66987949794475))
monumenter.275,65084,Livets vilkår,186,58,719799.338263,6174897.684202,12.495318,55.670053,Ja,MULTIPOINT ((12.495318468557146 55.67005276326319))
monumenter.276,65090,Skulptur,224,263,718898.384323,6177781.36279,12.483322,55.696323,Ja,MULTIPOINT ((12.483321646556231 55.69632267586454))
monumenter.277,65091,Politibetjent,110,163,724511.73019,6175650.731185,12.570711,55.674651,Nej,MULTIPOINT ((12.570710725663526 55.674651493624744))
monumenter.278,65092,Brandmand,110,163,724554.934198,6175705.825171,12.571441,55.675126,Nej,MULTIPOINT ((12.571441427095813 55.67512560531363))
monumenter.279,65093,Peter med hane,280,319,724471.101917,6176245.295151,12.570552,55.680002,Nej,MULTIPOINT ((12.570552215705911 55.680002298988825))
monumenter.280,65094,En blind pige,299,338,725471.617384,6178084.649947,12.587944,55.696034,Nej,MULTIPOINT ((12.587944001562272 55.69603381019912))
monumenter.281,65095,En blind dreng,300,339,725476.961841,6178083.108277,12.588028,55.696017,Nej,MULTIPOINT ((12.588027593236935 55.69601750231886))
monumenter.282,65096,Pietá,96,150,723598.704214,6177861.879041,12.558023,55.694902,Nej,MULTIPOINT ((12.558023258748047 55.694902363816865))
monumenter.283,65097,"Kvinde, mand",170,215,724700.623439,6179015.717891,12.576465,55.704741,Nej,MULTIPOINT ((12.576465314934287 55.704741032068476))
monumenter.284,65098,"Kvinde, mand",170,215,724734.557305,6178989.76852,12.576983,55.704493,Nej,MULTIPOINT ((12.576982961943711 55.70449260689796))
monumenter.285,65099,Siddende puddel,232,269,724743.607304,6178293.258092,12.576556,55.698242,Ja,MULTIPOINT ((12.576555513466698 55.69824220164765))
monumenter.286,65100,Fabeldyr,194,237,722276.438304,6179559.335976,12.538405,55.710733,Ja,MULTIPOINT ((12.5384046470213 55.71073285613536))
monumenter.287,65101,Kærligheden mod de syge,152,199,722414.867984,6179803.64665,12.540802,55.71286,Ja,MULTIPOINT ((12.540801985879671 55.712860439529564))
monumenter.288,65102,Glæden ved genvundet helbred,152,199,722431.542553,6179816.96465,12.541078,55.712972,Ja,MULTIPOINT ((12.541077690198717 55.71297223248025))
monumenter.289,65103,Tukak maskespil,284,324,722454.385354,6179964.99792,12.541561,55.714289,Ja,MULTIPOINT ((12.541560817869689 55.714289348930606))
monumenter.290,65104,Borgmester Jensen,157,204,722382.092694,6179862.064256,12.540329,55.713399,Ja,MULTIPOINT ((12.540328764978169 55.71339936700064))
monumenter.291,65105,Skulptur III,282,321,722420.504892,6179799.577503,12.540888,55.712821,Ja,MULTIPOINT ((12.540888227281142 55.712821362059344))
monumenter.292,65106,Blomsterkumme,283,322,722433.483334,6179810.49668,12.541103,55.712913,Nej,MULTIPOINT ((12.541103267492257 55.712913336517644))
monumenter.293,65107,Moderkærlighed ,130,180,724639.04227,6175631.161288,12.572715,55.674417,Nej,MULTIPOINT ((12.572715113036425 55.674417136895705))
monumenter.294,65108,Michael Christian Lyngsie,278,317,722295.411061,6178517.738949,12.537861,55.701383,Ja,MULTIPOINT ((12.537860906522631 55.7013828739566))
monumenter.295,65109,Stort blad,267,302,722280.06824,6178517.508701,12.537617,55.701388,Ja,MULTIPOINT ((12.537617058862423 55.70138783665629))
monumenter.296,65110,Byens kag,175,220,724651.668749,6175966.659651,12.57319,55.67742,Ja,MULTIPOINT ((12.573190064655117 55.67742002818059))
monumenter.297,65111,Dagdrømmeren,316,356,727267.348828,6174355.28174,12.613368,55.661753,Ja,MULTIPOINT ((12.613367839517307 55.66175317172884))
monumenter.298,65112,Liggende kalv,325,416,727251.378924,6174681.988922,12.613385,55.66469,Nej,MULTIPOINT ((12.613384752756513 55.66469040727456))
monumenter.299,65115,Gøgeunge,328,419,720930.620241,6174423.143533,12.512889,55.665284,Nej,MULTIPOINT ((12.512888906178311 55.665283738465455))
monumenter.300,65116,Borgermusikken,329,420,721731.574124,6173582.529214,12.524919,55.65738,Nej,MULTIPOINT ((12.524919018817204 55.65737995115603))
monumenter.301,65117,Skulptur,337,434,723731.643783,6181314.932546,12.562955,55.725808,Nej,MULTIPOINT ((12.56295463534704 55.725808109971354))
monumenter.302,65118,Rød stålskulptur,339,437,724536.467426,6181273.137883,12.575709,55.725061,Nej,MULTIPOINT ((12.575709304936764 55.72506126524367))
monumenter.303,65119,Dreng med fugleunger,88,144,720887.78014,6177416.649428,12.514618,55.69215,Ja,MULTIPOINT ((12.514618490426155 55.692150521989404))
monumenter.304,65120,Tre sten,343,443,721685.78804,6180869.652816,12.530083,55.722754,Ja,MULTIPOINT ((12.530083118814362 55.722754441829736))
monumenter.305,65121,Dansk Cyklist Forbunds cykelstipris 1983,340,438,726391.531704,6174673.832709,12.599736,55.665019,Nej,MULTIPOINT ((12.59973644192016 55.66501858902931))
monumenter.306,65123,To væbnere,176,221,724428.559104,6175753.927722,12.569475,55.675615,Nej,MULTIPOINT ((12.56947519268467 55.67561538914776))
monumenter.307,65124,To væbnere,176,221,724437.614034,6175764.206243,12.569627,55.675703,Nej,MULTIPOINT ((12.569627299333984 55.67570338318378))
monumenter.308,65125,Christian IV,309,396,726124.472379,6175555.567178,12.596225,55.67305,Nej,MULTIPOINT ((12.59622548323346 55.6730500833285))
monumenter.309,65126,Spejlbassin,311,349,724909.220611,6175835.592436,12.57717,55.676125,Nej,MULTIPOINT ((12.577170203798572 55.676125446337615))
monumenter.310,65133,Jorden bærer dit aftryk,357,467,722908.910862,6177009.34577,12.546378,55.687574,Nej,MULTIPOINT ((12.546377536657594 55.68757394491369))
monumenter.311,65128,Granitskulptur,333,426,723548.481082,6177929.751846,12.557281,55.695534,Nej,MULTIPOINT ((12.557281151383275 55.695534183364956))
